station,n_departures,departures_scaled,departures_ratio
Schwarzkollm,35,0.05057096247960849,1.4583333333333333
Schweikershain,38,0.05546492659053834,1.5833333333333333
Schweinsburg-Culten,22,0.029363784665579123,0.9166666666666666
Sebnitz(Sachs),58,0.08809135399673736,2.4166666666666665
Seerhausen,38,0.05546492659053834,1.5833333333333333
Seitschen,37,0.05383360522022839,1.5416666666666667
Sohl,18,0.022838499184339316,0.75
Sohland,28,0.03915171288743883,1.1666666666666667
Stadt Wehlen(Sachs),78,0.12071778140293639,3.25
Stauchitz,39,0.05709624796084829,1.625
Steina,38,0.05546492659053834,1.5833333333333333
Stenn,32,0.04567699836867863,1.3333333333333333
Stolpen,34,0.048939641109298535,1.4166666666666667
Leipzig Allee-Center,82,0.12724306688417616,3.4166666666666665
Syrau,20,0.02610114192495922,0.8333333333333334
Tanndorf,34,0.048939641109298535,1.4166666666666667
Taubenheim(Spree),24,0.032626427406199025,1.0
Taucha(Leipzig),95,0.14845024469820553,3.9583333333333335
Tautenhain,34,0.048939641109298535,1.4166666666666667
Tharandt,116,0.1827079934747145,4.833333333333333
Tiefenau,28,0.03915171288743883,1.1666666666666667
Treuen,34,0.048939641109298535,1.4166666666666667
Uhsmannsdorf,41,0.06035889070146819,1.7083333333333333
Uhyst,22,0.029363784665579123,0.9166666666666666
Ulbersdorf,16,0.019575856443719414,0.6666666666666666
Voigtsgrün,18,0.022838499184339316,0.75
Weesenstein,34,0.048939641109298535,1.4166666666666667
Weickersdorf(Sachs),45,0.06688417618270799,1.875
Weinböhla Hp,101,0.15823817292006526,4.208333333333333
Weixdorf,36,0.052202283849918436,1.5
Weixdorf Bad,36,0.052202283849918436,1.5
Werdau Nord,22,0.029363784665579123,0.9166666666666666
Westewitz-Hochweitzschen,34,0.048939641109298535,1.4166666666666667
Wittgensdorf Mitte,38,0.05546492659053834,1.5833333333333333
Wülknitz,28,0.03915171288743883,1.1666666666666667
Wurzen,116,0.1827079934747145,4.833333333333333
Bennewitz,76,0.11745513866231648,3.1666666666666665
Zabeltitz,24,0.032626427406199025,1.0
Zeithain,28,0.03915171288743883,1.1666666666666667
Zoblitz,36,0.052202283849918436,1.5
Zschaitz,38,0.05546492659053834,1.5833333333333333
Zschortau,77,0.11908646003262642,3.2083333333333335
Zwickau-Pölbitz,52,0.07830342577487766,2.1666666666666665
Zwota-Zechenbach,33,0.04730831973898859,1.375
Zwota,33,0.04730831973898859,1.375
Dresden Mitte,391,0.6313213703099512,16.291666666666668
Freital-Potschappel,82,0.12724306688417616,3.4166666666666665
Zwenkau-Großdalzig,53,0.07993474714518761,2.2083333333333335
Chemnitz-Hilbersdorf,76,0.11745513866231648,3.1666666666666665
Oschatz,44,0.06525285481239805,1.8333333333333333
Böhlen(Leipzig),157,0.24959216965742254,6.541666666666667
Dresden-Friedrichstadt,41,0.06035889070146819,1.7083333333333333
Dresden-Plauen,82,0.12724306688417616,3.4166666666666665
Radebeul-Naundorf,38,0.05546492659053834,1.5833333333333333
Niesky,40,0.05872756933115825,1.6666666666666667
Chemnitz Küchwald,38,0.05546492659053834,1.5833333333333333
Plauen(Vogtl) Mitte,25,0.03425774877650897,1.0416666666666667
Delitzsch ob Bf,29,0.040783034257748776,1.2083333333333333
Leipzig Coppiplatz,82,0.12724306688417616,3.4166666666666665
Leipzig-Sellerhausen,58,0.08809135399673736,2.4166666666666665
